Timestamp,Please read the information and consent form here: https://drive.google.com/file/d/1kRdjSTpTlS2eKOMMpfCXFSTewLr0nlDU/view?usp=sharing,I consider myself a frequent social media user.,I worry about the employment-related repercussions that can come from my social media posts.,I am concerned my social media posts can damage my friendships.,I fear legal consequences for my social media posts.,I’ve faced consequences / been “cancelled” for content I’ve posted on social media.,I worry that my post on social media can jeopardize my romantic relationships.,I worry about being banned or cancelled if I don’t restrain myself in terms of what I post.,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,"I see myself as extraverted, enthusiastic.","I see myself as critical, quarrelsome.","I see myself as dependable, self-disciplined.","I see myself as anxious, easily upset.","I see myself as open to new experiences, complex.","I see myself as reserved, quiet.","I see myself as sympathetic, warm.","I see myself as disorganized, careless.","I see myself as calm, emotionally stable.","I see myself as conventional, uncreative.",I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,"It feels wrong when an employee who needs their job, is fired.",It's desirable when employees who contribute more to the success of the company receive a larger share,How would your friends describe your political position?,"I often have tender, concerned feelings for people less fortunate than me.","I value social status and prestige, control or dominance over people and resources.",Select your age group:,Select your highest degree of completed education:,Select your employment status:,Please enter your Worker ID (it can be found in the top left corner on https://worker.mturk.com/)
3-10-2022 0:32:04,I've read the information consent form and give my consent to take part in the survey.,Yes,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,Rarely,Rarely,4,1,2,5,6,6,3,7,6,Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree a Little,Agree a Little,Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I am equally willing to post either statement.,I am equally willing to post either statement.,Blackface should not be considered cultural appropriation.,[RACIAL GROUP] people are insufferable.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,I am equally willing to post either statement.,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.",I am equally willing to post either statement.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,I am equally hesitant to post either statement.,Think for yourself instead of constantly trusting in government to do what's best for you.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,"When it comes to climate change, it is challenging to separate science from the politics.",[NAME] was the most influential and effective Presidents in modern history.,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,I am equally hesitant to post either statement.,Agree a Little,Neither Agree nor Disagree,Moderate,Agree a Little,Neither Agree nor Disagree,25-30,Graduate Degree,Self-Employed,AZIZRX4ZI5D0K
3-10-2022 0:34:14,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Moderately,Agree Strongly,Agree Moderately,Agree Moderately,Occasionally,Frequently,4,5,2,5,6,6,3,1,8,Agree a Little,Agree Moderately,Agree a Little,Agree a Little,Agree Strongly,Agree Moderately,Agree Moderately,Agree Strongly,Agree a Little,Neither Agree nor Disagree,Critical Race Theory does not have any academic rigor.,Systemic [Racism/Sexism] is not sufficiently substantiated.,Blackface should not be considered cultural appropriation.,I am equally willing to post either statement.,Colonialism has done more good than harm.,"When it comes to climate change, it is challenging to separate science from the politics.",Think for yourself instead of constantly trusting in government to do what's best for you.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Critical Race Theory does not have any academic rigor.,I am equally willing to post either statement.,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.",[SPORTS TEAM NAME] are an embarrassment to our nation!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,I am equally hesitant to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally hesitant to post either statement.,I support [POLITICAL PARTY NAME].,"When it comes to climate change, it is challenging to separate science from the politics.",I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Agree a Little,Agree Moderately,Right,Agree a Little,Agree Strongly,18-25,Graduate Degree,Salaried Employee,A1JOFD6TTTE7BL
3-10-2022 0:41:53,I've read the information consent form and give my consent to take part in the survey.,Yes,Neither Agree nor Disagree,Disagree Moderately,Agree Moderately,Disagree Strongly,Never,Never,4,1,2,5,6,6,3,1,8,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree a Little,Disagree Strongly,Agree Strongly,Neither Agree nor Disagree,Agree a Little,Disagree Strongly,Agree Strongly,Disagree Strongly,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"When it comes to climate change, it is challenging to separate science from the politics.",Think for yourself instead of constantly trusting in government to do what's best for you.,I am equally willing to post either statement.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","When it comes to climate change, it is challenging to separate science from the politics.",I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,Systemic [Racism/Sexism] is not sufficiently substantiated.,"People who buy [PRODUCT] name, shame on you!",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Immigrants should be better welcomed.,[GENDER] should not work as [JOB TITLE].,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,I support [POLITICAL PARTY NAME].,I support [POLITICAL PARTY NAME].,Immigrants should be better welcomed.,Agree Moderately,Agree Strongly,Right,Agree Moderately,Agree Strongly,18-25,Graduate Degree,Salaried Employee,ANIPET6YF6T7H
3-10-2022 0:46:00,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree a Little,Agree Strongly,Agree a Little,Agree a Little,Frequently,Occasionally,5,1,2,4,3,5,4,5,5,Agree a Little,Agree a Little,Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Blackface should not be considered cultural appropriation.,Critical Race Theory does not have any academic rigor.,Colonialism has done more good than harm.,"When it comes to climate change, it is challenging to separate science from the politics.","People who buy [PRODUCT] name, shame on you!",[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,The influx of foreigners has done irreparable damage to our community.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.","If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.","People who buy [PRODUCT] name, shame on you!","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I support [POLITICAL PARTY NAME].,BlackLivesMatter was a movement that did more harm than good.,"People who buy [PRODUCT] name, shame on you!",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Immigrants should be better welcomed.,I support [POLITICAL PARTY NAME].,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is unclear to what degree vaccination protects against Omicron.,I support [POLITICAL PARTY NAME].,[NAME] was the most influential and effective Presidents in modern history.,Immigrants should be better welcomed.,Neither Agree nor Disagree,Neither Agree nor Disagree,Right Leaning,Agree a Little,Neither Agree nor Disagree,18-25,Graduate Degree,Self-Employed,A1CJMVZJAJQBWE 
3-10-2022 0:48:59,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Moderately,Agree Strongly,Agree Moderately,Agree a Little,Frequently,Frequently,4,5,2,5,6,6,3,4,8,Agree Moderately,Agree a Little,Agree Moderately,Agree Strongly,Agree a Little,Agree Moderately,Agree Strongly,Neither Agree nor Disagree,Agree Moderately,Agree a Little,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,Colonialism has done more good than harm.,"When it comes to climate change, it is challenging to separate science from the politics.","People who buy [PRODUCT] name, shame on you!",[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[GENDER] should not work as [JOB TITLE].,I am equally willing to post either statement.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I am equally willing to post either statement.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,"People who buy [PRODUCT] name, shame on you!",Think for yourself instead of constantly trusting in government to do what's best for you.,Immigrants should be better welcomed.,I support [POLITICAL PARTY NAME].,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,Immigrants should be better welcomed.,Agree Moderately,Agree Strongly,Moderate,Agree Moderately,Agree a Little,18-25,Graduate Degree,Salaried Employee,A1S4U0UXPC2JFE
3-10-2022 1:25:56,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree a Little,Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,4,1,1,5,6,6,3,4,5,Agree Moderately,Neither Agree nor Disagree,Agree a Little,Disagree Moderately,Agree Moderately,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Moderately,Agree Moderately,Disagree a Little,I am equally willing to post either statement.,I am equally willing to post either statement.,It is wrong that there exists a word that only members of one race can use.,I am equally willing to post either statement.,I am equally willing to post either statement.,I support [POLITICAL PARTY NAME].,I am equally willing to post either statement.,I am equally willing to post either statement.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,I am equally willing to post either statement.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally hesitant to post either statement.,I support [POLITICAL PARTY NAME].,Systemic [Racism/Sexism] is not sufficiently substantiated.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,Agree a Little,Neither Agree nor Disagree,Moderate,Neither Agree nor Disagree,Neither Agree nor Disagree,18-25,Associate / Bachelor's Degree,Salaried Employee,AO3LTMY9WWL42 
3-10-2022 1:26:41,I've read the information consent form and give my consent to take part in the survey.,Yes,Neither Agree nor Disagree,Disagree a Little,Agree a Little,Disagree a Little,Occasionally,Rarely,5,1,1,2,5,3,3,4,6,Neither Agree nor Disagree,Disagree a Little,Neither Agree nor Disagree,Agree a Little,Disagree a Little,Neither Agree nor Disagree,Disagree a Little,Disagree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,I am equally willing to post either statement.,Systemic [Racism/Sexism] is not sufficiently substantiated.,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,Colonialism has done more good than harm.,"When it comes to climate change, it is challenging to separate science from the politics.","People who buy [PRODUCT] name, shame on you!",[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I am equally willing to post either statement.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.","People who buy [PRODUCT] name, shame on you!","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I am equally hesitant to post either statement.,Systemic [Racism/Sexism] is not sufficiently substantiated.,"People who buy [PRODUCT] name, shame on you!",Think for yourself instead of constantly trusting in government to do what's best for you.,Immigrants should be better welcomed.,[GENDER] should not work as [JOB TITLE].,[SPORTS TEAM NAME] are an embarrassment to our nation!,The influx of foreigners has done irreparable damage to our community.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,Immigrants should be better welcomed.,Neither Agree nor Disagree,Agree a Little,Moderate,Agree a Little,Neither Agree nor Disagree,18-25,Associate / Bachelor's Degree,Salaried Employee,A3K1QJ949C7E62 
3-10-2022 1:27:29,I've read the information consent form and give my consent to take part in the survey.,Yes,Neither Agree nor Disagree,Disagree a Little,Disagree a Little,Neither Agree nor Disagree,Occasionally,Occasionally,4,1,2,5,6,5,3,8,1,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree a Little,Agree a Little,Neither Agree nor Disagree,Disagree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,Critical Race Theory does not have any academic rigor.,Colonialism has done more good than harm.,I support [POLITICAL PARTY NAME].,Think for yourself instead of constantly trusting in government to do what's best for you.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[GENDER] should not work as [JOB TITLE].,The influx of foreigners has done irreparable damage to our community.,I am equally willing to post either statement.,I am equally willing to post either statement.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","People who buy [PRODUCT] name, shame on you!","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I support [POLITICAL PARTY NAME].,Systemic [Racism/Sexism] is not sufficiently substantiated.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Immigrants should be better welcomed.,[GENDER] should not work as [JOB TITLE].,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I support [POLITICAL PARTY NAME].,It is unclear to what degree vaccination protects against Omicron.,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderate,Neither Agree nor Disagree,Neither Agree nor Disagree,25-30,Graduate Degree,Salaried Employee,AO974H4YNOEIP
3-10-2022 1:29:58,I've read the information consent form and give my consent to take part in the survey.,Yes,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,Occasionally,Occasionally,4,1,1,5,6,6,3,6,4,Agree a Little,Neither Agree nor Disagree,Agree a Little,Disagree a Little,Agree Moderately,Neither Agree nor Disagree,Agree a Little,Disagree Moderately,Agree Moderately,Disagree a Little,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Blackface should not be considered cultural appropriation.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,"People who buy [PRODUCT] name, shame on you!",[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,Systemic [Racism/Sexism] is not sufficiently substantiated.,"People who buy [PRODUCT] name, shame on you!",I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderate,Neither Agree nor Disagree,Neither Agree nor Disagree,18-25,Associate / Bachelor's Degree,Salaried Employee,A3DVDHTMPNXC7Y 
3-10-2022 1:31:04,I've read the information consent form and give my consent to take part in the survey.,Yes,Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Occasionally,1,3,1,4,5,3,5,5,2,Neither Agree nor Disagree,Disagree a Little,Disagree a Little,Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,[RACIAL GROUP] people are insufferable.,I am equally willing to post either statement.,I support [POLITICAL PARTY NAME].,Think for yourself instead of constantly trusting in government to do what's best for you.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[GENDER] should not work as [JOB TITLE].,I am equally willing to post either statement.,The influx of foreigners has done irreparable damage to our community.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I am equally willing to post either statement.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I am equally willing to post either statement.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,"People who buy [PRODUCT] name, shame on you!",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally hesitant to post either statement.,I support [POLITICAL PARTY NAME].,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,[NAME] was the most influential and effective Presidents in modern history.,I am equally hesitant to post either statement.,It is wrong that there exists a word that only members of one race can use.,I support [POLITICAL PARTY NAME].,I am equally hesitant to post either statement.,Neither Agree nor Disagree,Agree a Little,Moderate,Neither Agree nor Disagree,Neither Agree nor Disagree,18-25,Associate / Bachelor's Degree,Self-Employed,ARKXXE260F4UT 
